hint_1|È possibile ordinare ai soldati di trasferirsi in un posto premendo e tenendo premuto il tasto F1.
hint_2|Cavalli e uomini si muovono meno rapidamente in caso di pioggia.
hint_3|Puoi aspettare nella mappa del mondo tenendo premuta la Barra Spaziatrice.
hint_4|Puoi reclutare nuove truppe per il tuo esercito nelle taverne.
hint_5|Puoi dare ordini ai tuoi uomini mentre sei in battaglia.
hint_6|Un esercito con il morale alto si muove più velocemente sulla mappa del mondo.
hint_7|Le truppe ferite si curano più velocemente quando riposi nelle taverne.
hint_8|Per vendere ed acquistare velocemente nelle schermate di commercio tieni premuto il tasto Ctrl.
hint_9|Puoi premere il tasto Backspace durante le battaglie per visualizzare la schermata dei comandi.
hint_10|Pagherai mezzo salario alle truppe mentre sei in una città o in un castello. Similmente, pagherai mezzo salario se stazionerai le truppe in un castello.
hint_11|Puoi lasciare immediatamente una locazione premendo il tasto Tab.
hint_12|Puoi premere il tasto Shift mentre miri per ingrandire la visuale su un nemico che si trova a distanza.
