pt_none|არავინ
pt_rescued_prisoners|დახსნილი ტყვეები
pt_enemy|მტერი
pt_hero_party|გმირის ლაშქარი
pt_village_defenders|სოფლის მცველები
pt_cattle_herd|საქონლის ფარა
pt_looters|ქურდები
pt_manhunters|კაცზე მონადირეები
pt_steppe_bandits|სტეპის ბანდიტები
pt_taiga_bandits|ტუნდრის ბანდიტები
pt_desert_bandits|უდაბნოს ბანდიტები
pt_forest_bandits|ტყის ბანდიტები
pt_mountain_bandits|მთის ბანდიტები
pt_sea_raiders|ზღვაოსანი ბანდიტები
pt_deserters|დეზერტირები
pt_merchant_caravan|ვაჭართა ქარავანი
pt_troublesome_bandits|შარის მაძიებელი ბანდიტები
pt_bandits_awaiting_ransom|გაცვლის მოლოდინში მყოფი ბანდიტები
pt_kidnapped_girl|მოტაცებული გოგონა
pt_village_farmers|სოფლის ფერმერები
pt_spy_partners|არაპროგნოზირებადი მოგზაურები
pt_runaway_serfs|გაქცეული გლეხები
pt_spy|ჩვეულებრივი მაცხოვრებელი
pt_sacrificed_messenger|მსხვერპლად განწირული კურიერი
pt_forager_party|თავდამსხმელთა ლაშქარი
pt_scout_party|სკაუტი
pt_patrol_party|პატრული
pt_messenger_party|კურიერი
pt_raider_party|დამარბევლები
pt_raider_captives|დამარბეველთა ტყვეები
pt_kingdom_caravan_party|ქარავანი
pt_prisoner_train_party|ტყვეები
pt_default_prisoners|ჩვეულებრივი ტყვეები
pt_routed_warriors|გაქცეული მტრები
pt_center_reinforcements|ლაშქრის შევსება
pt_kingdom_hero_party|ომის ლაშქარი
pt_steppe_bandit_lair|სტეპის ბანდიტების თავშესაფარი
pt_taiga_bandit_lair|ტუნდრის ბანდიტების თავშესაფარი
pt_desert_bandit_lair|უდაბნოს ბანდიტების თავშესაფარი
pt_forest_bandit_lair|ტყის ბანდიტების თავშესაფარი
pt_mountain_bandit_lair|მთის ბანდიტების თავშესაფარი
pt_sea_raider_lair|მეზღვაური ბანდიტების ჩამოსხდომა
pt_looter_lair|გამტაცებელთა თავშესაფარი
pt_leaded_looters|მძარცველთა რაზმი
